NO;DATE;GULAPASIRLOKAL
793;13/01/2021;13500
794;14/01/2021;13500
795;15/01/2021;13500
796;18/01/2021;13550
797;19/01/2021;13550
798;20/01/2021;13550
799;21/01/2021;13500
800;22/01/2021;13500
801;25/01/2021;13500
802;26/01/2021;13500
803;27/01/2021;13500
804;28/01/2021;13500
805;29/01/2021;13500
806;01/02/2021;13500
807;02/02/2021;13500
808;03/02/2021;13450
809;04/02/2021;13450
810;05/02/2021;13450
811;08/02/2021;13450
812;09/02/2021;13450
813;10/02/2021;13450
814;11/02/2021;13450
815;12/02/2021;13150
816;15/02/2021;13450
817;16/02/2021;13450
818;17/02/2021;13450
819;18/02/2021;13450
820;19/02/2021;13450
821;22/02/2021;13400
822;23/02/2021;13400
823;24/02/2021;13400
824;25/02/2021;13400
825;26/02/2021;13400
826;01/03/2021;13450
827;02/03/2021;13450
828;03/03/2021;13450
829;04/03/2021;13450
830;05/03/2021;13400
831;08/03/2021;13400
832;09/03/2021;13400
833;10/03/2021;13400
834;11/03/2021;15550
835;12/03/2021;13400
836;15/03/2021;13350
837;16/03/2021;13350
838;17/03/2021;13350
839;18/03/2021;13350
840;19/03/2021;13350
841;22/03/2021;13350
842;23/03/2021;13350
843;24/03/2021;13350
844;25/03/2021;13350
845;26/03/2021;13350
846;29/03/2021;13350
847;30/03/2021;13350
848;31/03/2021;13450
849;01/04/2021;13350
850;02/04/2021;13500
851;05/04/2021;13350
852;06/04/2021;13350
853;07/04/2021;13350
854;08/04/2021;13350
855;09/04/2021;13350
856;12/04/2021;13350
857;13/04/2021;13350
858;14/04/2021;13350
859;15/04/2021;13350
860;16/04/2021;13350
861;19/04/2021;13350
862;20/04/2021;13350
863;21/04/2021;13350
864;22/04/2021;13350
865;23/04/2021;13350
866;26/04/2021;13350
867;27/04/2021;13350
868;28/04/2021;13350
869;29/04/2021;13350
870;30/04/2021;13350
871;03/05/2021;13350
872;04/05/2021;13400
873;05/05/2021;13400
874;06/05/2021;13400
875;07/05/2021;13400
876;10/05/2021;13400
877;11/05/2021;13350
878;12/05/2021;-
879;13/05/2021;-
880;14/05/2021;-
881;17/05/2021;13350
882;18/05/2021;13350
883;19/05/2021;13650
884;20/05/2021;13350
885;21/05/2021;13350
886;24/05/2021;13350
887;25/05/2021;13350
888;26/05/2021;13500
889;27/05/2021;13350
890;28/05/2021;13350
891;31/05/2021;13300
892;01/06/2021;14500
893;02/06/2021;13300
894;03/06/2021;13300
895;04/06/2021;13300
896;07/06/2021;13300
897;08/06/2021;13300
898;09/06/2021;13300
899;10/06/2021;13300
900;11/06/2021;13300
901;14/06/2021;13300
902;15/06/2021;13300
903;16/06/2021;13300
904;17/06/2021;13300
905;18/06/2021;13300
906;21/06/2021;13300
907;22/06/2021;13250
908;23/06/2021;13250
909;24/06/2021;13250
910;25/06/2021;13250
911;28/06/2021;13250
912;29/06/2021;13250
913;30/06/2021;13250
914;01/07/2021;13200
915;02/07/2021;13250
916;05/07/2021;13250
917;06/07/2021;13250
918;07/07/2021;13250
919;08/07/2021;13250
920;09/07/2021;13250
921;12/07/2021;13200
922;13/07/2021;13200
923;14/07/2021;13200
924;15/07/2021;13200
925;16/07/2021;13250
926;19/07/2021;13250
927;20/07/2021;14750
928;21/07/2021;13250
929;22/07/2021;13250
930;23/07/2021;13250
931;26/07/2021;13250
932;27/07/2021;13250
933;28/07/2021;13250
934;29/07/2021;13250
935;30/07/2021;13250
936;02/08/2021;13200
937;03/08/2021;13200
938;04/08/2021;13200
939;05/08/2021;13200
940;06/08/2021;13200
941;09/08/2021;13200
942;10/08/2021;13200
943;11/08/2021;12750
944;12/08/2021;13200
945;13/08/2021;13150
946;16/08/2021;13200
947;17/08/2021;14750
948;18/08/2021;13200
949;19/08/2021;13200
950;20/08/2021;13200
951;23/08/2021;13150
952;24/08/2021;13200
953;25/08/2021;13150
954;26/08/2021;13150
955;27/08/2021;13150
956;30/08/2021;13150
957;31/08/2021;13150
958;01/09/2021;13150
959;02/09/2021;13150
960;03/09/2021;13150
961;06/09/2021;13150
962;07/09/2021;13150
963;08/09/2021;13150
964;09/09/2021;13150
965;10/09/2021;13150
966;13/09/2021;13150
967;14/09/2021;13150
968;15/09/2021;13150
969;16/09/2021;13150
970;17/09/2021;13150
971;20/09/2021;13150
972;21/09/2021;13150
973;22/09/2021;13150
974;23/09/2021;13150
975;24/09/2021;13150
976;27/09/2021;13150
977;28/09/2021;13150
978;29/09/2021;13150
979;30/09/2021;13150
980;01/10/2021;13150
981;04/10/2021;13150
982;05/10/2021;13150
983;06/10/2021;13150
984;07/10/2021;13150
985;08/10/2021;13150
986;11/10/2021;13150
987;12/10/2021;13150
988;13/10/2021;13150
989;14/10/2021;13150
990;15/10/2021;13150
991;18/10/2021;13150
992;19/10/2021;13150
993;20/10/2021;13750
994;21/10/2021;13150
995;22/10/2021;13550
996;25/10/2021;13150
997;26/10/2021;13150
998;27/10/2021;13150
999;28/10/2021;13150
1000;29/10/2021;13150
1001;01/11/2021;13150
1002;02/11/2021;13150
1003;03/11/2021;13150
1004;04/11/2021;13200
1005;05/11/2021;13200
1006;08/11/2021;13200
1007;09/11/2021;13150
1008;10/11/2021;13200
1009;11/11/2021;13150
1010;12/11/2021;13150
1011;15/11/2021;13150
1012;16/11/2021;13150
1013;17/11/2021;13150
1014;18/11/2021;13150
1015;19/11/2021;13150
1016;22/11/2021;13150
1017;23/11/2021;13200
1018;24/11/2021;13200
1019;25/11/2021;13200
1020;26/11/2021;13200
1021;29/11/2021;13200
1022;30/11/2021;13200
1023;01/12/2021;13200
1024;02/12/2021;13200
1025;03/12/2021;13200
1026;06/12/2021;13200
1027;07/12/2021;13200
1028;08/12/2021;13200
1029;09/12/2021;13200
1030;10/12/2021;13250
1031;13/12/2021;13250
1032;14/12/2021;13250
1033;15/12/2021;13250
